id,device,timestamp,RUNNING_TASKS_baseActivity_mClass,RUNNING_TASKS_baseActivity_mPackage,RUNNING_TASKS_id,RUNNING_TASKS_numActivities,RUNNING_TASKS_numRunning,RUNNING_TASKS_topActivity_mClass,RUNNING_TASKS_topActivity_mPackage
2c92fc44-2409-478f-858a-0ba5cbb733f4-17,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364142626,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
2c92fc44-2409-478f-858a-0ba5cbb733f4-17,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364142626,org.bewellapp.dashBoardActivity,org.bewellapp,6,1,1,org.bewellapp.dashBoardActivity,org.bewellapp
2c92fc44-2409-478f-858a-0ba5cbb733f4-59,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364143826,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco,11,2,2,com.google.android.apps.paco.PAM,com.google.android.apps.paco
2c92fc44-2409-478f-858a-0ba5cbb733f4-59,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364143826,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
2c92fc44-2409-478f-858a-0ba5cbb733f4-59,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364143826,org.bewellapp.dashBoardActivity,org.bewellapp,6,1,1,org.bewellapp.dashBoardActivity,org.bewellapp
6ff72d98-9f7c-4a59-8b65-a5a8f1486bf6-34,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364145026,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
6ff72d98-9f7c-4a59-8b65-a5a8f1486bf6-34,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364145026,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco,11,2,2,com.google.android.apps.paco.PAM,com.google.android.apps.paco
6ff72d98-9f7c-4a59-8b65-a5a8f1486bf6-34,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364145026,org.bewellapp.dashBoardActivity,org.bewellapp,6,1,1,org.bewellapp.dashBoardActivity,org.bewellapp
ed8eb002-467c-4ba0-ba5c-38a68ce0a399-17,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364146226,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
ed8eb002-467c-4ba0-ba5c-38a68ce0a399-17,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364146226,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco,11,2,2,com.google.android.apps.paco.PAM,com.google.android.apps.paco
ed8eb002-467c-4ba0-ba5c-38a68ce0a399-17,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364146226,org.bewellapp.dashBoardActivity,org.bewellapp,6,1,1,org.bewellapp.dashBoardActivity,org.bewellapp
